2025-07-02 16:52:39,941 - INFO - CoVilla Notification Service started
2025-07-03 04:11:52,724 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:12:56,800 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:14:00,852 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:15:04,888 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 04:16:08,954 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 13:19:25,101 - ERROR - Database error: (2003, "Can't connect to MySQL server on 'localhost' ([WinError 10061] No connection could be made because the target machine actively refused it)")
2025-07-03 15:02:25,924 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:03:25,934 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:04:25,946 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:05:25,953 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:06:25,962 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:07:25,973 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:07:25,973 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:08:25,978 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:08:25,978 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:09:25,982 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:09:25,982 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:10:25,987 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:10:25,987 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:11:25,995 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:11:25,995 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
2025-07-03 15:12:25,999 - ERROR - Template error: [Errno 2] No such file or directory: 'welcome_email.html'
